title,description,due,status
Electricity Bill,Pay monthly electricity bill,2024-06-15,Pending
Savings Deposit,Transfer savings to investment account,2024-07-01,Upcoming
Car Insurance Renewal,Renew car insurance policy,2024-08-10,Completed
Monthly Savings Transfer,Transfer savings to separate account,2024-07-05,Pending
Credit Card Payment,Pay off credit card balance,2024-06-30,Upcoming
Doctor's Appointment,Annual health checkup,2024-07-20,Upcoming
Project Deadline,Submit project report,2024-06-25,Pending
Meeting with Client,Discuss project requirements,2024-07-08,Upcoming
Fitness Class,Attend yoga session,2024-07-03,Completed
House Rent Payment,Pay monthly rent,2024-06-30,Completed
Shopping for Groceries,Buy groceries for the week,2024-06-22,Pending
Dentist Appointment,Visit dentist for checkup,2024-07-15,Upcoming
Vacation Planning,Plan upcoming vacation itinerary,2024-08-01,Upcoming
Dinner with Friends,Arrange dinner outing with friends,2024-07-12,Completed
Family Gathering,Attend family reunion,2024-07-30,Upcoming
